ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
BANCO DE CHILE;MARCAS;ppp_beneficio-link-big5-2023;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/big5-2023;Date un gusto todos los días;Hasta 40% dcto. pagando con tus Tarjetas del Chile. La Fête - Juan Maestro - KFC - Dominó - Starbucks.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-30-dcto-restaurant;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/30-dcto-restaurant;Jueves de terraza;30% dcto. en restaurantes pagando con tus Tarjetas del Chile. ;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-verano-2023;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/verano-2023;¡Este Verano disfruta de los mejores beneficios!;Pagando con tus Tarjetas del Chile hasta el 28 de febrero.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-bigos;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/bigos;Bigos;20% dcto. todos los viernes.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-poligota-beneficio;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/poligota-beneficio;Poliglota aprende inglés como si estuvieras en Nueva York;Hasta 75% dcto. en los planes de Poliglota.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-totto-bts;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/totto-bts;Totto;25% dcto.Todos los días de Febrero;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-20-sarak;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/20-sarak;Sara K Joyas;20% dcto.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-dolares-premio-en-majestic;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/dolares-premio-en-majestic;Majestic Dólares-Premio;Consumo por $50.000;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-greta-retobar;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/greta-retobar;Greta Restobar;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-mix-sushi;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/mix-sushi;Mix Sushi;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-24-7;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/24-7;24.7;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-rappi-descuento;;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/rappi-descuento;Hasta 40% dcto. todos los días en restaurantes y comercios con Rappi;Pagando con tus Tarjetas de Débito y Crédito del Chile.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-pedidosya-2023;;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/pedidosya-2023;30% dcto. o envío gratis en PedidosYa con tus Tarjetas del Chile;Pide algo rico cualquier día.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-travel-viajes;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/travel-viajes;Travel Viajes;N_A;
